Some weights of BertForSequenceClassification were not initialized from the model checkpoint at ahmedrachid/FinancialBERT and are newly initialized: ['classifier.weight', 'bert.pooler.dense.bias', 'bert.pooler.dense.weight', 'classifier.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
You're using a BertTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
{'loss': 1.0989, 'learning_rate': 6.666666666666667e-07, 'epoch': 0.01}
{'loss': 1.094, 'learning_rate': 1.3333333333333334e-06, 'epoch': 0.02}
{'loss': 1.0896, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.03}
{'loss': 1.0688, 'learning_rate': 2.666666666666667e-06, 'epoch': 0.04}
{'loss': 1.0698, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.04}
{'loss': 1.037, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.05}
{'loss': 1.0107, 'learning_rate': 4.666666666666667e-06, 'epoch': 0.06}
{'loss': 0.9636, 'learning_rate': 5.333333333333334e-06, 'epoch': 0.07}
{'loss': 0.979, 'learning_rate': 6e-06, 'epoch': 0.08}
{'loss': 0.9109, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.09}
{'loss': 0.8487, 'learning_rate': 7.333333333333333e-06, 'epoch': 0.1}
{'loss': 0.7628, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.11}
{'loss': 0.632, 'learning_rate': 8.666666666666668e-06, 'epoch': 0.11}
{'loss': 0.5939, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.12}
{'loss': 0.5467, 'learning_rate': 1e-05, 'epoch': 0.13}
{'loss': 0.4989, 'learning_rate': 1.0666666666666667e-05, 'epoch': 0.14}
{'loss': 0.4313, 'learning_rate': 1.1333333333333334e-05, 'epoch': 0.15}
{'loss': 0.3214, 'learning_rate': 1.2e-05, 'epoch': 0.16}
{'loss': 0.2875, 'learning_rate': 1.2666666666666667e-05, 'epoch': 0.17}
{'loss': 0.3934, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.18}
